PLZ;ORT;Bezirk;
3001;Mauerbach;Bezirk Sankt Pölten (Land);
3001;Tulbing;Bezirk Tulln;
3002;Purkersdorf;Bezirk Sankt Pölten (Land);
3003;Gablitz;Bezirk Sankt Pölten (Land);
3004;Gablitz;Bezirk Sankt Pölten (Land);
3004;Sieghartskirchen;Bezirk Tulln;
3004;Tullnerbach;Bezirk Sankt Pölten (Land);
3011;Purkersdorf;Bezirk Sankt Pölten (Land);
3011;Tullnerbach;Bezirk Sankt Pölten (Land);
3012;Pressbaum;Bezirk Sankt Pölten (Land);
3012;Purkersdorf;Bezirk Sankt Pölten (Land);
3012;Wolfsgraben;Bezirk Sankt Pölten (Land);
3013;Pressbaum;Bezirk Sankt Pölten (Land);
3013;Tullnerbach;Bezirk Sankt Pölten (Land);
3021;Pressbaum;Bezirk Sankt Pölten (Land);
3021;Tullnerbach;Bezirk Sankt Pölten (Land);
3021;Wolfsgraben;Bezirk Sankt Pölten (Land);
3031;Pressbaum;Bezirk Sankt Pölten (Land);
3032;Eichgraben;Bezirk Sankt Pölten (Land);
3032;Maria Anzbach;Bezirk Sankt Pölten (Land);
3032;Pressbaum;Bezirk Sankt Pölten (Land);
3033;Altlengbach;Bezirk Sankt Pölten (Land);
3033;Klausen-Leopoldsdorf;Bezirk Baden;
3033;Pressbaum;Bezirk Sankt Pölten (Land);
3034;Asperhofen;Bezirk Sankt Pölten (Land);
3034;Maria Anzbach;Bezirk Sankt Pölten (Land);
3034;Neulengbach;Bezirk Sankt Pölten (Land);
3040;Neulengbach;Bezirk Sankt Pölten (Land);
3041;Asperhofen;Bezirk Sankt Pölten (Land);
3041;Sieghartskirchen;Bezirk Tulln;
3042;Würmla;Bezirk Tulln;
3051;Neulengbach;Bezirk Sankt Pölten (Land);
3052;Brand-Laaben;Bezirk Sankt Pölten (Land);
3052;Neustift-Innermanzing;Bezirk Sankt Pölten (Land);
3053;Brand-Laaben;Bezirk Sankt Pölten (Land);
3053;Klausen-Leopoldsdorf;Bezirk Baden;
3053;Stössing;Bezirk Sankt Pölten (Land);
3061;Kirchstetten;Bezirk Sankt Pölten (Land);
3061;Neulengbach;Bezirk Sankt Pölten (Land);
3062;Kirchstetten;Bezirk Sankt Pölten (Land);
3071;Böheimkirchen;Bezirk Sankt Pölten (Land);
3071;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3071;Pyhra;Bezirk Sankt Pölten (Land);
3072;Böheimkirchen;Bezirk Sankt Pölten (Land);
3072;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3072;Neulengbach;Bezirk Sankt Pölten (Land);
3072;Stössing;Bezirk Sankt Pölten (Land);
3073;Brand-Laaben;Bezirk Sankt Pölten (Land);
3073;Michelbach;Bezirk Sankt Pölten (Land);
3073;Neustift-Innermanzing;Bezirk Sankt Pölten (Land);
3073;Stössing;Bezirk Sankt Pölten (Land);
3074;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3074;Michelbach;Bezirk Sankt Pölten (Land);
3074;Stössing;Bezirk Sankt Pölten (Land);
3100;St. Pölten;Bezirk Sankt Pölten (Stadt);
3104;Pyhra;Bezirk Sankt Pölten (Land);
3104;St. Pölten;Bezirk Sankt Pölten (Stadt);
3105;St. Pölten;Bezirk Sankt Pölten (Stadt);
3107;St. Pölten;Bezirk Sankt Pölten (Stadt);
3110;Neidling;Bezirk Sankt Pölten (Land);
3121;Karlstetten;Bezirk Sankt Pölten (Land);
3122;Bergern im Dunkelsteinerwald;Bezirk Krems (Land);
3122;Dunkelsteinerwald;Bezirk Melk;
3122;Wölbling;Bezirk Sankt Pölten (Land);
3123;Obritzberg-Rust;Bezirk Sankt Pölten (Land);
3124;Wölbling;Bezirk Sankt Pölten (Land);
3125;Statzendorf;Bezirk Sankt Pölten (Land);
3125;Wölbling;Bezirk Sankt Pölten (Land);
3130;Herzogenburg;Bezirk Sankt Pölten (Land);
3131;Inzersdorf-Getzersdorf;Bezirk Sankt Pölten (Land);
3133;Traismauer;Bezirk Sankt Pölten (Land);
3134;Nußdorf ob der Traisen;Bezirk Sankt Pölten (Land);
3140;Böheimkirchen;Bezirk Sankt Pölten (Land);
3140;St. Pölten;Bezirk Sankt Pölten (Stadt);
3141;Kapelln;Bezirk Sankt Pölten (Land);
3142;Perschling;Bezirk Sankt Pölten (Land);
3143;Pyhra;Bezirk Sankt Pölten (Land);
3144;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3144;Pyhra;Bezirk Sankt Pölten (Land);
3150;Hofstetten-Grünau;Bezirk Sankt Pölten (Land);
3150;St. Veit an der Gölsen;Bezirk Lilienfeld;
3150;Wilhelmsburg;Bezirk Sankt Pölten (Land);
3151;St. Pölten;Bezirk Sankt Pölten (Stadt);
3153;Eschenau;Bezirk Lilienfeld;
3160;St. Veit an der Gölsen;Bezirk Lilienfeld;
3160;Traisen;Bezirk Lilienfeld;
3161;St. Veit an der Gölsen;Bezirk Lilienfeld;
3162;St. Veit an der Gölsen;Bezirk Lilienfeld;
3163;Kleinzell;Bezirk Lilienfeld;
3163;Rohrbach an der Gölsen;Bezirk Lilienfeld;
3163;St. Veit an der Gölsen;Bezirk Lilienfeld;
3170;Hainfeld;Bezirk Lilienfeld;
3170;Ramsau;Bezirk Lilienfeld;
3171;Kleinzell;Bezirk Lilienfeld;
3172;Ramsau;Bezirk Lilienfeld;
3180;Lilienfeld;Bezirk Lilienfeld;
3183;Hohenberg;Bezirk Lilienfeld;
3183;Türnitz;Bezirk Lilienfeld;
3184;Türnitz;Bezirk Lilienfeld;
3192;Hohenberg;Bezirk Lilienfeld;
3192;Kleinzell;Bezirk Lilienfeld;
3193;St. Aegyd am Neuwalde;Bezirk Lilienfeld;
3195;St. Aegyd am Neuwalde;Bezirk Lilienfeld;
3200;Ober-Grafendorf;Bezirk Sankt Pölten (Land);
3202;Hofstetten-Grünau;Bezirk Sankt Pölten (Land);
3203;Hofstetten-Grünau;Bezirk Sankt Pölten (Land);
3203;Kilb;Bezirk Melk;
3203;Rabenstein an der Pielach;Bezirk Sankt Pölten (Land);
3204;Kilb;Bezirk Melk;
3204;Kirchberg an der Pielach;Bezirk Sankt Pölten (Land);
3204;Loich;Bezirk Sankt Pölten (Land);
3205;Weinburg;Bezirk Sankt Pölten (Land);
3211;Loich;Bezirk Sankt Pölten (Land);
3212;Frankenfels;Bezirk Sankt Pölten (Land);
3212;Schwarzenbach an der Pielach;Bezirk Sankt Pölten (Land);
3213;Frankenfels;Bezirk Sankt Pölten (Land);
3213;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3214;Frankenfels;Bezirk Sankt Pölten (Land);
3214;Puchenstuben;Bezirk Scheibbs;
3214;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3221;Puchenstuben;Bezirk Scheibbs;
3222;Annaberg;Bezirk Lilienfeld;
3222;St. Aegyd am Neuwalde;Bezirk Lilienfeld;
3223;Annaberg;Bezirk Lilienfeld;
3223;Gaming;Bezirk Scheibbs;
3223;Mitterbach am Erlaufsee;Bezirk Lilienfeld;
3223;Puchenstuben;Bezirk Scheibbs;
3224;Mitterbach am Erlaufsee;Bezirk Lilienfeld;
3231;St. Margarethen an der Sierning;Bezirk Sankt Pölten (Land);
3232;Bischofstetten;Bezirk Melk;
3233;Bischofstetten;Bezirk Melk;
3233;Hofstetten-Grünau;Bezirk Sankt Pölten (Land);
3233;Kilb;Bezirk Melk;
3233;Mank;Bezirk Melk;
3240;Kilb;Bezirk Melk;
3240;Kirnberg an der Mank;Bezirk Melk;
3240;Mank;Bezirk Melk;
3240;St. Leonhard am Forst;Bezirk Melk;
3241;Kirnberg an der Mank;Bezirk Melk;
3241;Oberndorf an der Melk;Bezirk Scheibbs;
3241;St. Leonhard am Forst;Bezirk Melk;
3242;Oberndorf an der Melk;Bezirk Scheibbs;
3242;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3242;St. Georgen an der Leys;Bezirk Scheibbs;
3242;Texingtal;Bezirk Melk;
3243;Ruprechtshofen;Bezirk Melk;
3243;St. Leonhard am Forst;Bezirk Melk;
3244;Ruprechtshofen;Bezirk Melk;
3244;Zelking-Matzleinsdorf;Bezirk Melk;
3250;Wieselburg;Bezirk Scheibbs;
3250;Wieselburg-Land;Bezirk Scheibbs;
3251;Purgstall an der Erlauf;Bezirk Scheibbs;
3251;Wieselburg-Land;Bezirk Scheibbs;
3252;Petzenkirchen;Bezirk Melk;
3252;Ruprechtshofen;Bezirk Melk;
3252;Wieselburg-Land;Bezirk Scheibbs;
3253;Erlauf;Bezirk Melk;
3253;Zelking-Matzleinsdorf;Bezirk Melk;
3254;Bergland;Bezirk Melk;
3261;Steinakirchen am Forst;Bezirk Scheibbs;
3261;Wolfpassing;Bezirk Scheibbs;
3262;Wang;Bezirk Scheibbs;
3263;Randegg;Bezirk Scheibbs;
3263;Waidhofen an der Ybbs;Bezirk Waidhofen an der Ybbs (Stadt);
3264;Gaming;Bezirk Scheibbs;
3264;Gresten;Bezirk Scheibbs;
3264;Gresten-Land;Bezirk Scheibbs;
3264;Randegg;Bezirk Scheibbs;
3264;Reinsberg;Bezirk Scheibbs;
3270;Scheibbs;Bezirk Scheibbs;
3270;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3281;Oberndorf an der Melk;Bezirk Scheibbs;
3281;Wieselburg-Land;Bezirk Scheibbs;
3282;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3282;St. Georgen an der Leys;Bezirk Scheibbs;
3283;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3291;Gaming;Bezirk Scheibbs;
3292;Gaming;Bezirk Scheibbs;
3292;St. Anton an der Jeßnitz;Bezirk Scheibbs;
3293;Gaming;Bezirk Scheibbs;
3293;Lunz am See;Bezirk Scheibbs;
3294;Gaming;Bezirk Scheibbs;
3294;Mariazell;Bezirk Bruck-Mürzzuschlag;
3295;Gaming;Bezirk Scheibbs;
3300;Amstetten;Bezirk Amstetten;
3300;Ardagger;Bezirk Amstetten;
3300;Winklarn;Bezirk Amstetten;
3304;St. Georgen am Ybbsfelde;Bezirk Amstetten;
3311;Zeillern;Bezirk Amstetten;
3312;Oed-Oehling;Bezirk Amstetten;
3313;Wallsee-Sindelburg;Bezirk Amstetten;
3314;Strengberg;Bezirk Amstetten;
3314;Wolfsbach;Bezirk Amstetten;
3321;Ardagger;Bezirk Amstetten;
3322;Viehdorf;Bezirk Amstetten;
3323;Neustadtl an der Donau;Bezirk Amstetten;
3324;Euratsfeld;Bezirk Amstetten;
3325;Ferschnitz;Bezirk Amstetten;
3325;Steinakirchen am Forst;Bezirk Scheibbs;
3325;Wang;Bezirk Scheibbs;
3331;Biberbach;Bezirk Amstetten;
3331;Kematen an der Ybbs;Bezirk Amstetten;
3331;Sonntagberg;Bezirk Amstetten;
3332;Biberbach;Bezirk Amstetten;
3332;Sonntagberg;Bezirk Amstetten;
3333;Biberbach;Bezirk Amstetten;
3333;Sonntagberg;Bezirk Amstetten;
3334;Gaflenz;Bezirk Steyr-Land;
3335;Gaflenz;Bezirk Steyr-Land;
3335;Weyer;Bezirk Steyr-Land;
3340;Randegg;Bezirk Scheibbs;
3340;Sonntagberg;Bezirk Amstetten;
3340;Waidhofen an der Ybbs;Bezirk Waidhofen an der Ybbs (Stadt);
3340;Ybbsitz;Bezirk Amstetten;
3341;Gresten-Land;Bezirk Scheibbs;
3341;Opponitz;Bezirk Amstetten;
3341;Ybbsitz;Bezirk Amstetten;
3342;Opponitz;Bezirk Amstetten;
3343;Hollenstein an der Ybbs;Bezirk Amstetten;
3344;St. Georgen am Reith;Bezirk Amstetten;
3345;Göstling an der Ybbs;Bezirk Scheibbs;
3350;Haag;Bezirk Amstetten;
3350;St. Peter in der Au;Bezirk Amstetten;
3350;St. Valentin;Bezirk Amstetten;
3351;Weistrach;Bezirk Amstetten;
3352;St. Peter in der Au;Bezirk Amstetten;
3353;Biberbach;Bezirk Amstetten;
3353;Seitenstetten;Bezirk Amstetten;
3354;Strengberg;Bezirk Amstetten;
3354;Wolfsbach;Bezirk Amstetten;
3355;Ertl;Bezirk Amstetten;
3361;Amstetten;Bezirk Amstetten;
3361;Aschbach-Markt;Bezirk Amstetten;
3361;Biberbach;Bezirk Amstetten;
3361;Kematen an der Ybbs;Bezirk Amstetten;
3362;Amstetten;Bezirk Amstetten;
3362;Oed-Oehling;Bezirk Amstetten;
3363;Amstetten;Bezirk Amstetten;
3363;Winklarn;Bezirk Amstetten;
3364;Neuhofen an der Ybbs;Bezirk Amstetten;
3364;Randegg;Bezirk Scheibbs;
3365;Allhartsberg;Bezirk Amstetten;
3370;Neumarkt an der Ybbs;Bezirk Melk;
3370;Ybbs an der Donau;Bezirk Melk;
3371;Neumarkt an der Ybbs;Bezirk Melk;
3371;Steinakirchen am Forst;Bezirk Scheibbs;
3371;Wieselburg-Land;Bezirk Scheibbs;
3371;Wolfpassing;Bezirk Scheibbs;
3372;Blindenmarkt;Bezirk Melk;
3372;Ferschnitz;Bezirk Amstetten;
3373;Neumarkt an der Ybbs;Bezirk Melk;
3373;Wieselburg-Land;Bezirk Scheibbs;
3374;Krummnußbaum;Bezirk Melk;
3374;Ybbs an der Donau;Bezirk Melk;
3375;Krummnußbaum;Bezirk Melk;
3376;St. Martin-Karlsbach;Bezirk Melk;
3380;Erlauf;Bezirk Melk;
3380;Pöchlarn;Bezirk Melk;
3381;Erlauf;Bezirk Melk;
3381;Golling an der Erlauf;Bezirk Melk;
3382;Dunkelsteinerwald;Bezirk Melk;
3382;Loosdorf;Bezirk Melk;
3382;Schollach;Bezirk Melk;
3383;Hürm;Bezirk Melk;
3384;Haunoldstein;Bezirk Sankt Pölten (Land);
3385;Gerersdorf;Bezirk Sankt Pölten (Land);
3385;Prinzersdorf;Bezirk Sankt Pölten (Land);
3385;St. Pölten;Bezirk Sankt Pölten (Stadt);
3386;Hafnerbach;Bezirk Sankt Pölten (Land);
3388;Markersdorf-Haindorf;Bezirk Sankt Pölten (Land);
3390;Melk;Bezirk Melk;
3390;Schollach;Bezirk Melk;
3390;Zelking-Matzleinsdorf;Bezirk Melk;
3392;Dunkelsteinerwald;Bezirk Melk;
3393;Zelking-Matzleinsdorf;Bezirk Melk;
3394;Schönbühel-Aggsbach;Bezirk Melk;
3400;Klosterneuburg;Bezirk Tulln;
3400;Mauerbach;Bezirk Sankt Pölten (Land);
3413;St. Andrä-Wördern;Bezirk Tulln;
3420;Klosterneuburg;Bezirk Tulln;
3421;Klosterneuburg;Bezirk Tulln;
3422;St. Andrä-Wördern;Bezirk Tulln;
3423;St. Andrä-Wördern;Bezirk Tulln;
3423;Zeiselmauer-Wolfpassing;Bezirk Tulln;
3424;Zeiselmauer-Wolfpassing;Bezirk Tulln;
